token,symbol,name,exch,instrument_type,lot_size,tick_size,updated_at
543151,08ABB,08ABB,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543170,08ADD,08ADD,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543145,08ADR,08ADR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543153,08AGG,08AGG,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543147,08AMD,08AMD,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543148,08AMR,08AMR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543155,08AQD,08AQD,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543168,08AQR,08AQR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543149,08BPB,08BPB,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543156,08DPD,08DPD,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543169,08DPR,08DPR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543150,08GPG,08GPG,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543144,08MPD,08MPD,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543146,08MPR,08MPR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543152,08QPD,08QPD,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543154,08QPR,08QPR,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
543179,11ADD,11ADD,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543180,11ADR,11ADR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543181,11AGG,11AGG,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543182,11AMD,11AMD,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543183,11AMR,11AMR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543184,11AQD,11AQD,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543185,11AQR,11AQR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543186,11DPD,11DPD,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543173,11DPR,11DPR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543174,11GPG,11GPG,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543175,11MPD,11MPD,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543176,11MPR,11MPR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543177,11QPD,11QPD,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543178,11QPR,11QPR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
511122,1STCUS,1STCUS,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
533022,20MICRONS,20MICRONS,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
526921,21STCENMGM,21STCENMGM,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
542772,360ONE,360ONE,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
532067,3BBLACKBIO,3BBLACKBIO,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
544412,3BFILMS,3BFILMS,BSE,,3000,0.01,2026-07-05 08:48:17.051738+00
544190,3CIT,3CIT,BSE,,2000,0.01,2026-07-05 08:48:17.051738+00
532628,3IINFOLTD,3IINFOLTD,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
523395,3MINDIA,3MINDIA,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
516092,3PLAND,3PLAND,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
540776,5PAISA,5PAISA,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
526881,63MOONS,63MOONS,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
540615,7NR,7NR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
540874,7SEASL,7SEASL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
532404,7TEC,7TEC,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
